settings_1,settings_2,snr,parameter.ID,T,fp_1,fp_2,fp_3,fp_4,fn_1,fn_2,fn_3,fn_4,mse_1,mse_2,mse_3,mse_4,compTime_1,compTime_2,compTime_3,compTime_4,converged_1,converged_2,converged_3,converged_4
15,0.01,0.935571915706622,22,1000,9,5,9,4,0,0,0,0,2.25714235860928e-06,2.14647423364188e-06,2.25714235860928e-06,2.092226492543e-06,50.530895,202.198795,49.972339,192.789865,0,0,0,0
15,0.01,1.30839040695562,22,2000,6,1,2,2,0,0,0,0,2.1059425307318e-07,1.66784928301773e-07,1.71710400278633e-07,1.71710400278633e-07,99.061497,335.261367,93.059832,297.332296,0,0,0,0
15,0.01,1.1420483030559,22,2000,5,2,6,0,0,0,0,0,2.42443896412991e-06,2.39252415234795e-06,2.43063272608003e-06,2.34019814378898e-06,73.295716,272.431292,71.051044,264.456451,0,0,0,0
15,0.01,1.17763289038708,22,2000,3,1,1,0,0,0,0,0,4.05654820293347e-07,3.79660480565255e-07,3.79660480565255e-07,3.4536610343565e-07,74.356581,286.46131,69.992082,273.988827,0,0,0,0
15,0.01,1.02327707313966,22,2000,9,7,8,6,0,0,0,0,7.39308409478856e-07,7.66080032419562e-07,7.27762662059425e-07,7.40438566798813e-07,73.793621,289.373118,74.856112,275.648786,0,0,0,0
15,0.01,1.08320322540539,22,2000,0,0,0,0,0,0,0,0,2.27120985840479e-08,2.27120985840479e-08,2.27120985840479e-08,2.27120985840479e-08,74.40879,287.507714,64.812901,257.139531,0,0,0,0
15,0.02,1.00131589347218,23,500,11,5,9,2,1,1,1,1,0.000108430563990417,0.000107291722797406,0.000107570572932868,0.000106799131909828,31.107248,140.246052,31.892569,124.068445,0,0,0,0
15,0.02,1.03588394643307,23,500,6,1,5,3,1,1,1,0,0.000211917953506409,0.000211596597329757,0.000211896163306033,0.000180838660962063,31.983846,143.316045,29.819246,128.703244,0,0,0,0
15,0.02,0.839925980827407,23,500,8,6,8,7,1,1,1,1,0.000127629890735851,0.000127482255980058,0.000127629890735851,0.000158736566643678,27.724706,105.383767,34.192474,124.994523,0,0,0,0
15,0.02,0.811725615933813,23,500,7,1,6,0,1,1,1,1,0.000141951386113659,0.000141312888116511,0.000141881489126161,0.000141160397168955,27.884401,124.317924,22.911551,105.787287,0,0,0,0
15,0.02,0.668090484494969,23,500,5,4,4,3,1,1,1,1,0.000119835366860582,0.00011961795729425,0.000119635624780904,0.000119418215214572,26.778907,131.248435,29.686447,100.743711,0,0,0,0
15,0.02,1.01356418209577,23,1000,16,6,4,3,0,0,1,1,7.83781671016508e-06,6.46073546267676e-06,0.000106705781857985,0.000106676011783473,47.905845,186.222245,48.062766,172.463952,0,0,0,0
15,0.02,0.95187522646638,23,1000,5,1,2,0,1,1,1,1,0.000120178868036862,0.000120033143934871,0.000120071421422607,0.000119943951732031,48.69752,177.549371,42.075642,146.979588,0,0,0,0
15,0.02,0.972417996142812,23,1000,7,3,5,3,1,1,1,1,0.0001156184117136,0.000115478539457485,0.000115592716821479,0.000115478539457485,42.49908,190.88007,46.342558,182.812428,0,0,0,0
15,0.02,0.81917573717634,23,1000,1,1,1,1,1,1,1,1,0.000140727808837996,0.000140727808837996,0.000140727808837996,0.000140727808837996,40.526463,176.818041,35.966179,154.689166,0,0,0,0
15,0.02,0.919944916749544,23,1000,12,4,11,3,0,0,0,0,8.81469045071659e-05,3.29456042373184e-05,6.98655932166321e-05,3.28761146588996e-05,49.821655,213.084216,51.014805,210.897967,0,0,0,0
15,0.02,0.904917879240881,23,2000,9,4,5,3,0,0,0,0,1.84371458629105e-05,1.75151335940581e-05,1.75356420045162e-05,1.74839832164254e-05,74.082919,319.341732,65.814815,277.693651,0,0,0,0
